lpos	Commands.Lists.lpos	request/typed-decoder
lpush	Commands.Lists.lpush	request/typed-decoder
lpushx	Commands.Lists.lpush_x	request/typed-decoder
lrange	Commands.Lists.lrange	request/typed-decoder
lrem	Commands.Lists.lrem	request/typed-decoder
lset	Commands.Lists.lset	request/typed-decoder
ltrim	Commands.Lists.ltrim	request/typed-decoder
rpop	Commands.Lists.rpop	request/typed-decoder
rpoplpush	Commands.Lists.rpop_lpush	request/typed-decoder
rpush	Commands.Lists.rpush	request/typed-decoder
rpushx	Commands.Lists.rpush_x	request/typed-decoder
sadd	Commands.Sets.sadd	request/typed-decoder
scard	Commands.Sets.scard	request/typed-decoder
sdiff	Commands.Sets.sdiff	request/typed-decoder
sdiffcard	Commands.Sets.sdiff_card	request/typed-decoder
sdiffstore	Commands.Sets.sdiff_store	request/typed-decoder
sinter	Commands.Sets.sinter	request/typed-decoder
sintercard	Commands.Sets.sinter_card	request/typed-decoder
sinterstore	Commands.Sets.sinter_store	request/typed-decoder
sismember	Commands.Sets.sis_member	request/typed-decoder
smembers	Commands.Sets.smembers	request/typed-decoder
smismember	Commands.Sets.smis_member	request/typed-decoder
smove	Commands.Sets.smove	request/typed-decoder
spop	Commands.Sets.spop	request/typed-decoder
srandmember	Commands.Sets.srand_member	request/typed-decoder
srem	Commands.Sets.srem	request/typed-decoder
sscan	Commands.Sets.sscan	request/typed-decoder
sunion	Commands.Sets.sunion	request/typed-decoder
sunioncard	Commands.Sets.sunion_card	request/typed-decoder
sunionstore	Commands.Sets.sunion_store	request/typed-decoder
bzmpop	Commands.SortedSets.bzmpop	request/typed-decoder
bzpopmax	Commands.SortedSets.bzpop_max	request/typed-decoder
bzpopmin	Commands.SortedSets.bzpop_min	request/typed-decoder
zadd	Commands.SortedSets.zadd	request/typed-decoder
zcard	Commands.SortedSets.zcard	request/typed-decoder
zcount	Commands.SortedSets.zcount	request/typed-decoder
zdiff	Commands.SortedSets.zdiff	request/typed-decoder
zdiffstore	Commands.SortedSets.zdiff_store	request/typed-decoder
zincrby	Commands.SortedSets.zincr_by	request/typed-decoder
zinter	Commands.SortedSets.zinter	request/typed-decoder
zintercard	Commands.SortedSets.zinter_card	request/typed-decoder
zinterstore	Commands.SortedSets.zinter_store	request/typed-decoder
zlexcount	Commands.SortedSets.zlex_count	request/typed-decoder
zmpop	Commands.SortedSets.zmpop	request/typed-decoder
zmscore	Commands.SortedSets.zmscore	request/typed-decoder
zpopmax	Commands.SortedSets.zpop_max	request/typed-decoder
zpopmin	Commands.SortedSets.zpop_min	request/typed-decoder
zrandmember	Commands.SortedSets.zrand_member	request/typed-decoder
zrange	Commands.SortedSets.zrange	request/typed-decoder
zrangebylex	Commands.SortedSets.zrange_by_lex	request/typed-decoder
zrangebyscore	Commands.SortedSets.zrange_by_score	request/typed-decoder
zrangestore	Commands.SortedSets.zrange_store	request/typed-decoder
zrank	Commands.SortedSets.zrank	request/typed-decoder
zrem	Commands.SortedSets.zrem	request/typed-decoder
zremrangebylex	Commands.SortedSets.zrem_range_by_lex	request/typed-decoder
zremrangebyrank	Commands.SortedSets.zrem_range_by_rank	request/typed-decoder
zremrangebyscore	Commands.SortedSets.zrem_range_by_score	request/typed-decoder
zrevrange	Commands.SortedSets.zrev_range	request/typed-decoder
